다발지역 에프아이디(FID),다발지역 아이디(ID),시도 구분 아이디(ID),시도명,시구군 구분 아이디(ID),시구군명,읍면동 구분 ID,읍면동명,사고종류,법정동 코드,지점 코드,시도시구군명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,대상
6097396,2015046,43,충청북도,740,영동군,250,영동읍,BICYCLE,4374025000,43740001,충청북도 영동군1,충청북도 영동군 영동읍(반달묵은지삼겹살 부근),4,4,0,1,3,0,127.7809198,36.1736618,기타
6097397,2015046,43,충청북도,745,증평군,250,증평읍,BICYCLE,4374525023,43745001,충청북도 증평군1,충청북도 증평군 증평읍(주덕상회 부근),5,6,0,1,4,1,127.5818301,36.78266211,기타
6097751,2015048,43,충청북도,112,서원구,101,사직동,OLDMAN,4311210100,43112003,충청북도 청주시 서원구3,충청북도 청주시 서원구 사직동(국보로사거리 부근),3,3,0,3,0,0,127.4756709,36.63545764,노약자
6097891,2015048,43,충청북도,113,청주흥덕구,115,봉명동,OLDMAN,4311311500,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 봉명동(봉명사거리 부근),4,4,0,3,1,0,127.4625239,36.64294568,노약자
6097975,2015048,43,충청북도,150,제천시,109,화산동,OLDMAN,4315010900,43150004,충청북도 제천시4,충청북도 제천시 화산동(성광당 부근),4,4,0,2,2,0,128.2087492,37.13438195,노약자
6098325,2015048,43,충청북도,113,청주흥덕구,320,옥산면,OLDMAN,4311332000,43113003,충청북도 청주시 흥덕구3,충청북도 청주시 흥덕구 옥산면(- 인근),3,3,0,1,2,0,127.373831,36.66555735,노약자
6100078,2015048,43,충청북도,112,서원구,103,모충동,OLDMAN,4311210300,43112002,충청북도 청주시 서원구2,충청북도 청주시 서원구 모충동((법원2로법원뒷길) 부근),3,3,0,3,0,0,127.487296,36.6198463,노약자
6100079,2015048,43,충청북도,113,청주흥덕구,114,복대동,OLDMAN,4311311400,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 복대동(복대사거리 부근),3,3,0,2,1,0,127.4412364,36.63353641,노약자
6100080,2015048,43,충청북도,150,제천시,103,동현동,OLDMAN,4315010300,43150002,충청북도 제천시2,충청북도 제천시 동현동(세무서사거리 부근),9,9,1,8,0,0,128.2080098,37.12879459,노약자
6100084,2015048,43,충청북도,150,제천시,104,남천동,OLDMAN,4315010400,43150001,충청북도 제천시1,충청북도 제천시 남천동(남천약국앞교차로 부근),10,11,0,7,4,0,128.2119487,37.13742049,노약자
6100604,2015048,43,충청북도,111,청주상당구,111,석교동,OLDMAN,4311111100,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 석교동(모충사거리 부근),4,4,0,4,0,0,127.4889406,36.62535674,노약자
6100605,2015048,43,충청북도,111,청주상당구,111,석교동,OLDMAN,4311111100,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 석교동(고려주차장 부근),13,20,3,10,7,0,127.4921347,36.62827078,노약자
6100606,2015048,43,충청북도,112,서원구,102,사창동,OLDMAN,4311210200,43112001,충청북도 청주시 서원구1,충청북도 청주시 서원구 사창동((주성아파트9동) 부근),5,5,0,3,2,0,127.4596221,36.63412049,노약자
6100607,2015048,43,충청북도,150,제천시,113,청전동,OLDMAN,4315011300,43150003,충청북도 제천시3,충청북도 제천시 청전동((유명카써비스) 부근),4,4,1,2,1,0,128.2137484,37.14577866,노약자
6100608,2015048,43,충청북도,730,옥천군,250,옥천읍,OLDMAN,4373025036,43730001,충청북도 옥천군1,충청북도 옥천군 옥천읍(하나로마트 부근),6,6,0,5,1,0,127.5670472,36.30049611,노약자
6100894,2015049,43,충청북도,130,충주시,125,지현동,CHILD,4313012500,43130001,충청북도 충주시1,충청북도 충주시 지현동 남산초등학교 부근,3,4,0,1,3,0,127.9363345,36.9614967,어린이
6100975,2015049,43,충청북도,111,청주상당구,124,용암동,CHILD,4311112400,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 용암동((건영아파트103동) 부근),3,3,0,2,1,0,127.5019234,36.61148922,어린이
6101006,2015049,43,충청북도,113,청주흥덕구,114,복대동,CHILD,4311311400,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 복대동(중앙초교앞 부근),3,3,0,3,0,0,127.4263981,36.63477929,어린이
6101031,2015049,43,충청북도,770,음성군,340,대소면,CHILD,4377034000,43770001,충청북도 음성군1,충청북도 음성군 대소면(오산교(서측) 부근),3,3,0,0,3,0,127.4873727,36.96759822,어린이
6101147,2015049,43,충청북도,112,서원구,108,성화동,CHILD,4311210800,43112001,충청북도 청주시 서원구1,충청북도 청주시 서원구 성화동((지방도594호선구룡로) 부근),3,4,0,3,1,0,127.4473974,36.6172881,어린이
6101149,2015049,43,충청북도,150,제천시,116,장락동,CHILD,4315011600,43150002,충청북도 제천시2,충청북도 제천시 장락동(제천여자중학교앞 부근),3,3,0,3,0,0,128.2174116,37.15195916,어린이
6101224,2015049,43,충청북도,150,제천시,105,교동,CHILD,4315010500,43150001,충청북도 제천시1,충청북도 제천시 교동((장영도치과) 부근),4,5,0,1,4,0,128.2116284,37.13914379,어린이
6103606,2015052,43,충청북도,111,청주상당구,106,남문로2가동,JAYWALKING,4311110600,150243001,충북 청주상당1,충청북도 청주시 상당구 남문로2가동((두리빌라) 부근),6,6,0,2,4,0,127.4911348,36.63062191,기타
6103711,2015052,43,충청북도,112,서원구,102,사창동,JAYWALKING,4311210200,151343002,충북 청주흥덕2,충청북도 청주시 서원구 사창동(사직사거리 부근),3,4,2,1,1,0,127.4812748,36.63618886,기타
6104220,2015052,43,충청북도,113,청주흥덕구,115,봉명동,JAYWALKING,4311311500,151343001,충북 청주흥덕1,충청북도 청주시 흥덕구 봉명동(봉명사거리 부근),11,11,1,8,2,0,127.4621598,36.64291093,기타
6107928,2016040,43,충청북도,112,서원구,108,성화동,SCHOOLZONE,4311210800,43112002,충청북도 청주시 서원구2,충청북도 청주시 서원구 성화동(성화초교 부근),2,2,0,0,2,0,127.4556251,36.61729566,어린이
6107943,2016040,43,충청북도,114,청주청원구,102,내덕동,SCHOOLZONE,4311410200,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 내덕동(내덕초교 부근),2,2,0,1,1,0,127.4948754,36.65756471,어린이
6138867,2016040,43,충청북도,111,청주상당구,124,용암동,SCHOOLZONE,4311112400,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 용암동(상당초교 부근),2,2,0,0,2,0,127.5094466,36.60878012,어린이
