사고다발지fid,사고다발지id,법규위반,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6835819,2023021,중앙선침범,4311410200,43114001,충북 청주시 청원구1,충북 청주시 청원구 내덕동(서희스타힐스 바른어린이집 부근),3,8,0,0,8,0,127.496446711872,36.662341361774,"{""type"":""Polygon"",""coordinates"":[[[127.49914166,36.66234136],[127.49908988,36.66191961],[127.49893652,36.66151407],[127.49868748,36.66114032],[127.49835233,36.66081272],[127.49794394,36.66054387],[127.49747802,36.66034409],[127.49697247,36.66022107],[127.49644671,36.66017953],[127.49592095,36.66022107],[127.4954154,36.66034409],[127.49494948,36.66054387],[127.4945411,36.66081272],[127.49420595,36.66114032],[127.49395691,36.66151407],[127.49380355,36.66191961],[127.49375177,36.66234136],[127.49380355,36.66276311],[127.49395691,36.66316864],[127.49420595,36.66354238],[127.4945411,36.66386997],[127.49494948,36.66413881],[127.4954154,36.66433858],[127.49592095,36.66446159],[127.49644671,36.66450313],[127.49697247,36.66446159],[127.49747802,36.66433858],[127.49794394,36.66413881],[127.49835233,36.66386997],[127.49868748,36.66354238],[127.49893652,36.66316864],[127.49908988,36.66276311],[127.49914166,36.66234136]]]}"
6836097,2023022,신호위반,4311112500,43111001,충북 청주시 상당구1,충북 청주시 상당구 용정동(1093- 부근),6,8,0,2,6,0,127.518817166921,36.623328963606,"{""type"":""Polygon"",""coordinates"":[[[127.51971548,36.62332896],[127.51969822,36.62318831],[127.5196471,36.62305306],[127.51956409,36.62292842],[127.51945237,36.62281916],[127.51931624,36.6227295],[127.51916094,36.62266288],[127.51899242,36.62262185],[127.51881717,36.622608],[127.51864191,36.62262185],[127.5184734,36.62266288],[127.51831809,36.6227295],[127.51818196,36.62281916],[127.51807025,36.62292842],[127.51798723,36.62305306],[127.51793611,36.62318831],[127.51791885,36.62332896],[127.51793611,36.62346962],[127.51798723,36.62360486],[127.51807025,36.62372951],[127.51818196,36.62383876],[127.51831809,36.62392842],[127.5184734,36.62399505],[127.51864191,36.62403607],[127.51881717,36.62404993],[127.51899242,36.62403607],[127.51916094,36.62399505],[127.51931624,36.62392842],[127.51945237,36.62383876],[127.51956409,36.62372951],[127.5196471,36.62360486],[127.51969822,36.62346962],[127.51971548,36.62332896]]]}"
6836121,2023022,신호위반,4311112400,43111002,충북 청주시 상당구2,충북 청주시 상당구 용암동(방서사거리 부근),9,12,0,0,12,0,127.501990320516,36.606183874133,"{""type"":""Polygon"",""coordinates"":[[[127.50288864,36.60618387],[127.50287137,36.60604319],[127.50282026,36.60590791],[127.50273724,36.60578324],[127.50262553,36.60567396],[127.5024894,36.60558428],[127.50233409,36.60551764],[127.50216557,36.6054766],[127.50199032,36.60546275],[127.50181507,36.6054766],[127.50164655,36.60551764],[127.50149124,36.60558428],[127.50135512,36.60567396],[127.5012434,36.60578324],[127.50116039,36.60590791],[127.50110927,36.60604319],[127.50109201,36.60618387],[127.50110927,36.60632456],[127.50116039,36.60645984],[127.5012434,36.60658451],[127.50135512,36.60669379],[127.50149124,36.60678347],[127.50164655,36.6068501],[127.50181507,36.60689114],[127.50199032,36.606905],[127.50216557,36.60689114],[127.50233409,36.6068501],[127.5024894,36.60678347],[127.50262553,36.60669379],[127.50273724,36.60658451],[127.50282026,36.60645984],[127.50287137,36.60632456],[127.50288864,36.60618387]]]}"
6835897,2023022,신호위반,4311210300,43112001,충북 청주시 서원구1,충북 청주시 서원구 모충동(모충사거리 부근),7,8,1,1,6,0,127.489179151364,36.625322273214,"{""type"":""Polygon"",""coordinates"":[[[127.49007747,36.62532227],[127.49006021,36.62518162],[127.49000909,36.62504638],[127.48992607,36.62492174],[127.48981436,36.62481249],[127.48967823,36.62472283],[127.48952292,36.6246562],[127.4893544,36.62461518],[127.48917915,36.62460132],[127.4890039,36.62461518],[127.48883538,36.6246562],[127.48868007,36.62472283],[127.48854395,36.62481249],[127.48843223,36.62492174],[127.48834922,36.62504638],[127.4882981,36.62518162],[127.48828084,36.62532227],[127.4882981,36.62546292],[127.48834922,36.62559817],[127.48843223,36.62572281],[127.48854395,36.62583206],[127.48868007,36.62592172],[127.48883538,36.62598834],[127.4890039,36.62602936],[127.48917915,36.62604322],[127.4893544,36.62602936],[127.48952292,36.62598834],[127.48967823,36.62592172],[127.48981436,36.62583206],[127.48992607,36.62572281],[127.49000909,36.62559817],[127.49006021,36.62546292],[127.49007747,36.62532227]]]}"
6836283,2023022,신호위반,4311210200,43112002,충북 청주시 서원구2,충북 청주시 서원구 사창동(사창사거리 부근),13,17,0,7,10,0,127.460055979561,36.634515867978,"{""type"":""Polygon"",""coordinates"":[[[127.46095429,36.63451587],[127.46093703,36.63437523],[127.46088591,36.63424001],[127.4608029,36.63411538],[127.46069118,36.63400614],[127.46055506,36.63391649],[127.46039975,36.63384988],[127.46023123,36.63380886],[127.46005598,36.633795],[127.45988073,36.63380886],[127.45971221,36.63384988],[127.4595569,36.63391649],[127.45942077,36.63400614],[127.45930906,36.63411538],[127.45922604,36.63424001],[127.45917493,36.63437523],[127.45915766,36.63451587],[127.45917493,36.6346565],[127.45922604,36.63479173],[127.45930906,36.63491636],[127.45942077,36.63502559],[127.4595569,36.63511524],[127.45971221,36.63518185],[127.45988073,36.63522287],[127.46005598,36.63523673],[127.46023123,36.63522287],[127.46039975,36.63518185],[127.46055506,36.63511524],[127.46069118,36.63502559],[127.4608029,36.63491636],[127.46088591,36.63479173],[127.46093703,36.6346565],[127.46095429,36.63451587]]]}"
6836164,2023022,신호위반,4311325027,43113001,충북 청주시 흥덕구1,충북 청주시 흥덕구 오송읍 궁평리(궁평1교차로 부근),7,13,0,1,12,0,127.341613866003,36.619447898406,"{""type"":""Polygon"",""coordinates"":[[[127.34251218,36.6194479],[127.34249492,36.61930724],[127.3424438,36.61917198],[127.34236079,36.61904733],[127.34224907,36.61893807],[127.34211294,36.61884841],[127.34195764,36.61878178],[127.34178912,36.61874075],[127.34161387,36.61872689],[127.34143861,36.61874075],[127.3412701,36.61878178],[127.34111479,36.61884841],[127.34097866,36.61893807],[127.34086694,36.61904733],[127.34078393,36.61917198],[127.34073281,36.61930724],[127.34071555,36.6194479],[127.34073281,36.61958856],[127.34078393,36.61972381],[127.34086694,36.61984846],[127.34097866,36.61995772],[127.34111479,36.62004739],[127.3412701,36.62011401],[127.34143861,36.62015504],[127.34161387,36.6201689],[127.34178912,36.62015504],[127.34195764,36.62011401],[127.34211294,36.62004739],[127.34224907,36.61995772],[127.34236079,36.61984846],[127.3424438,36.61972381],[127.34249492,36.61958856],[127.34251218,36.6194479]]]}"
6836210,2023022,신호위반,4311311600,43113002,충북 청주시 흥덕구2,충북 청주시 흥덕구 송정동(솔밭공원사거리 부근),8,12,0,6,6,0,127.435358189074,36.644207113941,"{""type"":""Polygon"",""coordinates"":[[[127.4362565,36.64420711],[127.43623924,36.6440665],[127.43618812,36.64393129],[127.43610511,36.64380667],[127.43599339,36.64369745],[127.43585727,36.64360781],[127.43570196,36.64354121],[127.43553344,36.64350019],[127.43535819,36.64348634],[127.43518294,36.64350019],[127.43501442,36.64354121],[127.43485911,36.64360781],[127.43472298,36.64369745],[127.43461127,36.64380667],[127.43452825,36.64393129],[127.43447713,36.6440665],[127.43445987,36.64420711],[127.43447713,36.64434773],[127.43452825,36.64448294],[127.43461127,36.64460755],[127.43472298,36.64471677],[127.43485911,36.64480641],[127.43501442,36.64487302],[127.43518294,36.64491403],[127.43535819,36.64492788],[127.43553344,36.64491403],[127.43570196,36.64487302],[127.43585727,36.64480641],[127.43599339,36.64471677],[127.43610511,36.64460755],[127.43618812,36.64448294],[127.43623924,36.64434773],[127.4362565,36.64420711]]]}"
6931704,2024050,중앙선침범,4311111900,43111001,충북 청주시 상당구1,충북 청주시 상당구 영운동(보림어린이집 부근),4,4,0,2,2,0,127.511306656421,36.620454126645,"{""type"":""Polygon"",""coordinates"":[[[127.5140016,36.62023529],[127.51394982,36.61981148],[127.51379646,36.61940396],[127.51354742,36.61902838],[127.51321227,36.61869919],[127.51280389,36.61842902],[127.51233797,36.61822827],[127.51183241,36.61810465],[127.51130666,36.6180629],[127.5107809,36.61810465],[127.51027535,36.61822827],[127.50980942,36.61842902],[127.50940104,36.61869919],[127.50906589,36.61902838],[127.50881685,36.61940396],[127.50866349,36.61981148],[127.50861171,36.62023529],[127.50866349,36.62065909],[127.50881685,36.6210666],[127.50906589,36.62144217],[127.50940104,36.62177135],[127.50980942,36.62204151],[127.51027535,36.62224225],[127.5107809,36.62236587],[127.51130666,36.62240761],[127.51183241,36.62236587],[127.51233797,36.62224225],[127.51280389,36.62204151],[127.51321227,36.62177135],[127.51354742,36.62144217],[127.51379646,36.6210666],[127.51394982,36.62065909],[127.5140016,36.62023529]]]}"
6931663,2024050,중앙선침범,4311110300,43111002,충북 청주시 상당구2,충북 청주시 상당구 북문로2가(중앙시장사거리 부근),3,4,0,1,3,0,127.488360730919,36.638380407798,"{""type"":""Polygon"",""coordinates"":[[[127.49105568,36.63816134],[127.49100389,36.63773764],[127.49085054,36.63733021],[127.4906015,36.63695472],[127.49026635,36.6366256],[127.48985796,36.6363555],[127.48939204,36.6361548],[127.48888649,36.6360312],[127.48836073,36.63598947],[127.48783497,36.6360312],[127.48732942,36.6361548],[127.4868635,36.6363555],[127.48645512,36.6366256],[127.48611997,36.63695472],[127.48587093,36.63733021],[127.48571757,36.63773764],[127.48566579,36.63816134],[127.48571757,36.63858505],[127.48587093,36.63899246],[127.48611997,36.63936794],[127.48645512,36.63969705],[127.4868635,36.63996714],[127.48732942,36.64016783],[127.48783497,36.64029142],[127.48836073,36.64033315],[127.48888649,36.64029142],[127.48939204,36.64016783],[127.48985796,36.63996714],[127.49026635,36.63969705],[127.4906015,36.63936794],[127.49085054,36.63899246],[127.49100389,36.63858505],[127.49105568,36.63816134]]]}"
6931722,2024050,중앙선침범,4311111000,43111003,충북 청주시 상당구3,충북 청주시 상당구 남주동(모충대교사거리 부근),2,5,1,2,2,0,127.483485214804,36.630514257194,"{""type"":""Polygon"",""coordinates"":[[[127.48618016,36.63029529],[127.48612838,36.62987154],[127.48597502,36.62946407],[127.48572598,36.62908855],[127.48539083,36.62875939],[127.48498245,36.62848926],[127.48451653,36.62828854],[127.48401097,36.62816493],[127.48348521,36.62812319],[127.48295946,36.62816493],[127.4824539,36.62828854],[127.48198798,36.62848926],[127.4815796,36.62875939],[127.48124445,36.62908855],[127.48099541,36.62946407],[127.48084205,36.62987154],[127.48079027,36.63029529],[127.48084205,36.63071904],[127.48099541,36.6311265],[127.48124445,36.63150201],[127.4815796,36.63183116],[127.48198798,36.63210127],[127.4824539,36.63230199],[127.48295946,36.63242559],[127.48348521,36.63246732],[127.48401097,36.63242559],[127.48451653,36.63230199],[127.48498245,36.63210127],[127.48539083,36.63183116],[127.48572598,36.63150201],[127.48597502,36.6311265],[127.48612838,36.63071904],[127.48618016,36.63029529]]]}"
