다발지역 에프아이디(FID),다발지역 아이디(ID),시도 구분 아이디(ID),시도명,시구군 구분 아이디(ID),시구군명,읍면동 구분 ID,읍면동명,사고종류,법정동 코드,지점 코드,시도시구군명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,대상
6302918,2017050,43,충청북도,113,청주흥덕구,113,가경동,BICYCLE,4311311300,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 가경동((풍산로터미널로) 부근),4,4,0,1,2,1,127.4324124,36.62604733,기타
6303055,2017050,43,충청북도,111,청주상당구,117,탑동,BICYCLE,4311111700,43111004,충청북도 청주시 상당구4,충청북도 청주시 상당구 탑동((현대아파트105동) 부근),4,4,0,1,3,0,127.5019127,36.63088951,기타
6319030,2017050,43,충청북도,111,청주상당구,108,서운동,BICYCLE,4311110800,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 서운동(직지고속관광운수(주) 부근),9,9,0,1,8,0,127.4913318,36.62839739,기타
6319031,2017050,43,충청북도,111,청주상당구,101,영동,BICYCLE,4311110100,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 영동(파리바게트 부근),4,4,1,2,0,1,127.4873182,36.63666385,기타
6319038,2017050,43,충청북도,114,청주청원구,101,우암동,BICYCLE,4311410100,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 우암동((쌍둥이빌딩) 부근),4,4,0,0,2,2,127.487386,36.6508914,기타
6345684,2017081,43,충청북도,111,청주상당구,106,남문로2가동,JAYWALKING,4311110600,151443002,충북 청주청남2,충청북도 청주시 상당구 남문로2가동(구남궁병원사거리 부근),5,6,0,0,6,0,127.4909064,36.63183575,기타
6393994,2018027,43,충청북도,113,청주흥덕구,115,봉명동,SCHOOLZONE,4311311500,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 봉명동(봉명초교 부근),2,2,0,0,2,0,127.4573466,36.63904045,어린이
6394225,2018027,43,충청북도,113,청주흥덕구,114,복대동,SCHOOLZONE,4311311400,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 복대동(복대초교 부근),2,2,0,1,1,0,127.4480355,36.62839005,어린이
6394248,2018027,43,충청북도,113,청주흥덕구,320,옥산면,SCHOOLZONE,4311332021,43113003,충청북도 청주시 흥덕구3,충청북도 청주시 흥덕구 옥산면(옥산초교 부근),1,1,1,0,0,0,127.3763211,36.66423186,어린이
6396146,2018028,43,충청북도,114,청주청원구,104,사천동,CHILD,4311410400,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 사천동(박미숙수학학원 사천캠퍼스 부근),3,4,0,1,3,0,127.47408,36.66345843,어린이
